iter	Accuracy	MultiClass
149	0.5907843137	0.8965358503
150	0.5909803922	0.8963141501
151	0.5912745098	0.8960334195
152	0.5911764706	0.8957940846
153	0.5911764706	0.8954901721
154	0.5915686275	0.895312278
155	0.5915686275	0.895151064
156	0.5914705882	0.8949708861
157	0.5917647059	0.8947667249
158	0.5917647059	0.8946765065
159	0.5919607843	0.8945556225
160	0.5921568627	0.8943386287
161	0.5925490196	0.8941351846
162	0.5925490196	0.8939496243
163	0.5928431373	0.8937179389
164	0.5923529412	0.893485596
165	0.592745098	0.8932838771
166	0.5929411765	0.8931282273
167	0.5925490196	0.892956045
168	0.5929411765	0.8927130334
169	0.5931372549	0.8925989897
170	0.5931372549	0.8924345828
171	0.5933333333	0.8922903913
172	0.5932352941	0.8921100097
173	0.5933333333	0.8919033687
174	0.5938235294	0.8917348416
175	0.5934313725	0.8916261676
176	0.5933333333	0.8913741755
177	0.5934313725	0.891129589
178	0.5934313725	0.8908473282
179	0.5938235294	0.8906422806
180	0.5939215686	0.8905546346
181	0.5939215686	0.8904358892
182	0.5940196078	0.8902772603
183	0.5939215686	0.8901328663
184	0.5939215686	0.8899813581
185	0.5937254902	0.8898143479
186	0.5939215686	0.8896953174
187	0.5944117647	0.889519092
188	0.5942156863	0.889388315
189	0.5943137255	0.8891784347
190	0.5939215686	0.8890917847
191	0.5942156863	0.8889795345
192	0.5946078431	0.8888426473
193	0.5946078431	0.8888077122
194	0.5946078431	0.8885644854
195	0.5947058824	0.8884155923
196	0.5947058824	0.8883002101
197	0.5950980392	0.8882188907
198	0.5951960784	0.8879868967
199	0.5949019608	0.8877661111
200	0.5948039216	0.8874973507
201	0.5948039216	0.8873336995
202	0.5949019608	0.8871078184
203	0.5950980392	0.8868578188
204	0.5949019608	0.88664564
205	0.5948039216	0.8864569519
206	0.595	0.8862253228
207	0.5949019608	0.886085878
208	0.5954901961	0.8858588775
209	0.5953921569	0.8856554222
210	0.5953921569	0.88543173
211	0.5957843137	0.8851860805
212	0.5956862745	0.8850164635
213	0.5961764706	0.8848137122
214	0.596372549	0.8845888997
215	0.5964705882	0.8843649648
216	0.5961764706	0.8842162388
217	0.5961764706	0.884089584
218	0.596372549	0.8839108264
219	0.5966666667	0.8837024993
220	0.597254902	0.8834799587
221	0.5973529412	0.8833526392
222	0.5973529412	0.8831784676
223	0.5974509804	0.8830525791
224	0.5976470588	0.8827923858
225	0.5975490196	0.8824875004
226	0.5976470588	0.8823349652
227	0.5975490196	0.8822137119
228	0.5974509804	0.8820687828
229	0.5973529412	0.8819019697
230	0.597254902	0.8816873875
231	0.5970588235	0.8814643455
232	0.5970588235	0.8812154097
233	0.5975490196	0.881070053
234	0.5974509804	0.8808845972
235	0.5974509804	0.8807284823
236	0.5978431373	0.8806822903
237	0.597745098	0.8804521428
238	0.5974509804	0.8802499846
239	0.5975490196	0.8801390702
240	0.597745098	0.8799078797
241	0.597745098	0.8796872076
242	0.5980392157	0.8794769366
243	0.597745098	0.8791945391
244	0.5978431373	0.8789526135
245	0.5976470588	0.8787273852
246	0.5981372549	0.8785709104
247	0.5985294118	0.8783991378
248	0.598627451	0.8781947567
249	0.5987254902	0.8778521865
250	0.5988235294	0.8776827997
251	0.5991176471	0.8775449883
252	0.5991176471	0.8771681161
253	0.5990196078	0.8769972782
254	0.5990196078	0.8767303274
255	0.5996078431	0.8764798088
256	0.5995098039	0.8762961128
257	0.6000980392	0.8759892681
