iter	Passed	Remaining
433	2460	374
434	2466	368
435	2471	362
436	2477	357
437	2482	351
438	2487	345
439	2493	340
440	2499	334
441	2504	328
442	2510	323
443	2516	317
444	2521	311
445	2527	305
446	2532	300
447	2538	294
448	2543	288
449	2548	283
450	2554	277
451	2559	271
452	2564	266
453	2570	260
454	2575	254
455	2581	249
456	2586	243
457	2592	237
458	2597	232
459	2602	226
460	2608	220
461	2613	214
462	2619	209
463	2624	203
464	2630	197
465	2635	192
466	2640	186
467	2646	180
468	2651	175
469	2657	169
470	2663	163
471	2668	158
472	2674	152
473	2680	147
474	2685	141
475	2690	135
476	2696	130
477	2701	124
478	2707	118
479	2712	113
480	2718	107
481	2723	101
482	2728	96
483	2734	90
484	2739	84
485	2745	79
486	2750	73
487	2756	67
488	2762	62
489	2768	56
490	2773	50
491	2779	45
492	2785	39
493	2790	33
494	2796	28
495	2801	22
496	2807	16
497	2812	11
498	2818	5
499	2823	0
