fold,train_size,val_size,val_year,rps,accuracy
1,1195,1805,2022,0.1956,0.5861
2,1660,1340,2023,0.1916,0.5918
3,2092,908,2024,0.184,0.5958
4,2541,459,2025,0.1972,0.5861
