,0
elo_diff,0.0671421637398125
elo_home_win_prob,0.06062993566921101
diff_xg_per_game,0.05989211770896384
diff_squad_market_value_meur,0.05552370044994277
home_travel_km,0.04282751724970181
away_travel_km,0.03704497953302045
away_rest_days,0.03555603010999087
diff_avg_caps,0.034046176654477026
home_rest_days,0.030226844663277935
fifa_rank_diff,0.02923380011002568
home_xga_per_game,0.02798544473527405
away_ga_5,0.027892181524345694
away_elo_pre,0.026070957766632083
away_fifa_rank,0.02519813925581697
home_form_10,0.024437233311695946
venue_altitude_m,0.023915583464435876
home_elo_pre,0.02379155272633745
home_xg_per_game,0.023615975049144464
home_possession_pct,0.021499888383150638
away_ga_10,0.02075769743072518
home_fifa_rank,0.020364432703378725
away_gf_5,0.020179085192494953
home_ga_5,0.02004579289865122
away_gf_10,0.019123601515829012
home_gf_10,0.01896228392331158
away_form_10,0.01780206030559721
home_gf_5,0.017405454685734078
away_h2h_wr_10,0.017391723368325743
away_xg_per_game,0.017132979515931523
home_ga_10,0.01657414717868113
home_form_5,0.015981393546123785
away_xga_per_game,0.015977878620178406
away_possession_pct,0.015838281031280602
home_h2h_wr_10,0.013645972684902617
home_h2h_wr_5,0.01202335637611775
away_form_5,0.01147380881792301
tournament_weight,0.010771916537623313
away_h2h_wr_5,0.00842332887278132
mkt_draw_prob,0.003957508660004223
mkt_home_prob,0.0036370257259284353
mkt_away_prob,0.0024638469014403716
is_knockout,0.0014207309728257321
is_neutral,0.0012656250400552753
is_world_cup,0.0008498453888977296
